# Wilayah::	Semua Provinsi di INDONESIA
# Bentuk::	Semua DIKDAS
Kode Wilayah,Nama Wilayah,TK Sederajat,KB Sederajat,TPA,SPS,SD Sederajat,SMP Sederajat,SMA Sederajat,SMK Sederajat,SLB,Dikmas,Total
010000,PROV. D.K.I. JAKARTA,0,0,0,0,2720,1339,0,0,0,0,4059
020000,PROV. JAWA BARAT,0,0,0,0,23947,9426,0,0,0,0,33373
030000,PROV. JAWA TENGAH,0,0,0,0,22845,5362,0,0,0,0,28207
040000,PROV. D.I. YOGYAKARTA,0,0,0,0,2050,597,0,0,0,0,2647
050000,PROV. JAWA TIMUR,0,0,0,0,26648,9211,0,0,0,0,35859
060000,PROV. ACEH,0,0,0,0,4203,1849,0,0,0,0,6052
070000,PROV. SUMATERA UTARA,0,0,0,0,10825,4006,0,0,0,0,14831
080000,PROV. SUMATERA BARAT,0,0,0,0,4430,1307,0,0,0,0,5737
090000,PROV. RIAU,0,0,0,0,4429,2076,0,0,0,0,6505
100000,PROV. JAMBI,0,0,0,0,2805,1141,0,0,0,0,3946
110000,PROV. SUMATERA SELATAN,0,0,0,0,5378,2074,0,0,0,0,7452
120000,PROV. LAMPUNG,0,0,0,0,5573,2244,0,0,0,0,7817
130000,PROV. KALIMANTAN BARAT,0,0,0,0,4931,1770,0,0,0,0,6701
140000,PROV. KALIMANTAN TENGAH,0,0,0,0,2958,1070,0,0,0,0,4028
150000,PROV. KALIMANTAN SELATAN,0,0,0,0,3494,1020,0,0,0,0,4514
160000,PROV. KALIMANTAN TIMUR,0,0,0,0,2131,921,0,0,0,0,3052
170000,PROV. SULAWESI UTARA,0,0,0,0,2313,822,0,0,0,0,3135
180000,PROV. SULAWESI TENGAH,0,0,0,0,3175,1203,0,0,0,0,4378
190000,PROV. SULAWESI SELATAN,0,0,0,0,7227,2597,0,0,0,0,9824
200000,PROV. SULAWESI TENGGARA,0,0,0,0,2546,1063,0,0,0,0,3609
210000,PROV. MALUKU,0,0,0,0,1995,888,0,0,0,0,2883
220000,PROV. BALI,0,0,0,0,2519,472,0,0,0,0,2991
230000,PROV. NUSA TENGGARA BARAT,0,0,0,0,4296,2090,0,0,0,0,6386
240000,PROV. NUSA TENGGARA TIMUR,0,0,0,0,5464,2031,0,0,0,0,7495
250000,PROV. PAPUA,0,0,0,0,890,316,0,0,0,0,1206
260000,PROV. BENGKULU,0,0,0,0,1577,582,0,0,0,0,2159
270000,PROV. MALUKU UTARA,0,0,0,0,1486,732,0,0,0,0,2218
280000,PROV. BANTEN,0,0,0,0,5862,2834,0,0,0,0,8696
290000,PROV. KEPULAUAN BANGKA BELITUNG,0,0,0,0,878,303,0,0,0,0,1181
300000,PROV. GORONTALO,0,0,0,0,1032,426,0,0,0,0,1458
310000,PROV. KEPULAUAN RIAU,0,0,0,0,1073,507,0,0,0,0,1580
320000,PROV. PAPUA BARAT,0,0,0,0,621,182,0,0,0,0,803
330000,PROV. SULAWESI BARAT,0,0,0,0,1504,567,0,0,0,0,2071
340000,PROV. KALIMANTAN UTARA,0,0,0,0,530,233,0,0,0,0,763
360000,PROV. PAPUA TENGAH,0,0,0,0,600,195,0,0,0,0,795
370000,PROV. PAPUA SELATAN,0,0,0,0,638,149,0,0,0,0,787
380000,PROV. PAPUA PEGUNUNGAN,0,0,0,0,697,222,0,0,0,0,919
390000,PROV. PAPUA BARAT DAYA,0,0,0,0,597,225,0,0,0,0,822
